274.000 C+ 85.9360 NaVIII Sodium
1140.000 B 85.9920 NaVIII Sodium
2330.000 B+ 86.0390 NaVIII Sodium
2980.000 B+ 86.3810 NaVIII Sodium
4020.000 B+ 86.4170 NaVIII Sodium
4880.000 B+ 86.4790 NaVIII Sodium
812.000 B 86.5300 NaVIII Sodium
841.000 C+ 86.5960 NaVII Sodium
1010.000 C+ 86.6520 NaVII Sodium
167.000 C 86.7580 NaVII Sodium
180.000 C+ 86.7580 NaVIII Sodium
820.000 D 87.1410 NaVI Sodium
53.900 D+ 87.1410 NaVII Sodium
5650.000 B+ 87.2110 NaVIII Sodium
821.000 D 87.2110 NaVI Sodium
80.700 D+ 87.4710 NaVII Sodium
77.900 D+ 87.4710 NaVII Sodium
566.000 E 88.2230 NaVI Sodium
761.000 D 88.2460 NaVI Sodium
1020.000 D+ 88.2700 NaVI Sodium
254.000 E 88.3400 NaVI Sodium
261.000 D 88.4600 NaVI Sodium
160.000 C 88.6980 NaVII Sodium
639.000 C 88.7470 NaVII Sodium
795.000 C+ 88.8650 NaVII Sodium
317.000 C 88.9140 NaVII Sodium
99.300 A 89.7590 NaVIII Sodium
298.000 A 89.8180 NaVIII Sodium
498.000 A 89.9480 NaVIII Sodium
285.000 C 90.1730 NaVII Sodium
1350.000 B 90.2520 NaVIII Sodium
342.000 C 90.2520 NaVII Sodium
1040.000 D+ 90.4680 NaVI Sodium
2540.000 A 90.5360 NaVIII Sodium
11.800 D 90.8300 NaVII Sodium
13.100 E 90.8300 NaVII Sodium
329.000 C 91.0640 NaVII Sodium
317.000 C 91.0640 NaVII Sodium
1770.000 B 92.0030 NaVII Sodium
1650.000 B 92.0030 NaVII Sodium
907.000 C+ 92.7740 NaVII Sodium
1810.000 C+ 92.8090 NaVII Sodium
289.000 C 92.8430 NaVII Sodium
649.000 C+ 92.8830 NaVII Sodium
974.000 C+ 92.9300 NaVII Sodium
1510.000 B 92.9760 NaVII Sodium
177.000 C+ 93.1200 NaVIII Sodium
233.000 C+ 93.1970 NaVIII Sodium
524.000 B 93.2420 NaVIII Sodium
692.000 C+ 93.3390 NaVIII Sodium
1690.000 B 93.3930 NaVII Sodium
2840.000 B 93.4340 NaVII Sodium
4050.000 B+ 93.4860 NaVII Sodium
1210.000 B 93.5280 NaVII Sodium
3140.000 B+ 93.6700 NaVIII Sodium
515.000 B 93.8980 NaVIII Sodium
438.000 C+ 94.0200 NaVII Sodium
2200.000 B 94.2880 NaVII Sodium
2630.000 B 94.4680 NaVII Sodium
733.000 D+ 95.1820 NaVI Sodium
651.000 D 95.2630 NaVI Sodium
617.000 D 95.3190 NaVI Sodium
664.000 C 95.9330 NaVI Sodium
730.000 C+ 96.4750 NaVI Sodium
3630.000 B 96.8450 NaVII Sodium
3630.000 B 96.8720 NaVII Sodium
3620.000 B+ 96.9220 NaVII Sodium
383.000 C 97.7900 NaVII Sodium
477.000 C+ 97.9070 NaVII Sodium
339.000 C 98.0160 NaVII Sodium
298.000 B+ 98.0800 NaVIII Sodium
2320.000 B 98.0800 NaVII Sodium
2780.000 B 98.1880 NaVII Sodium
611.000 D 98.3090 NaVI Sodium
4110.000 B+ 98.3780 NaVII Sodium
3840.000 B+ 98.3940 NaVII Sodium
2580.000 B+ 99.4210 NaVII Sodium
168.000 D+ 99.5000 NaVI Sodium
125.000 D+ 99.5000 NaVI Sodium
2400.000 B 99.5560 NaVII Sodium
445.000 C 99.6170 NaVI Sodium
1220.000 B 99.6800 NaVII Sodium
1170.000 C+ 99.6800 NaVII Sodium
253.000 D+ 99.6800 NaVI Sodium
432.000 C 100.4690 NaVI Sodium
551.000 C+ 100.5190 NaVI Sodium
117.000 D+ 100.5900 NaVI Sodium
254.000 C 100.7180 NaVII Sodium
283.000 C 100.7180 NaVII Sodium
186.000 D 100.8800 NaV Sodium
180.000 D 100.8800 NaV Sodium
1020.000 B 101.7850 NaVII Sodium
