70.000 E 272.5350 MoV Molybdenum
238.000  273.5080 MoVI Molybdenum
27.000 E 273.8470 MoV Molybdenum
422.000  273.8940 MoVI Molybdenum
80.000 E 273.9910 MoV Molybdenum
120.000 E 274.0860 MoV Molybdenum
690.000 C 274.5830 MoV Molybdenum
40.000 E 274.7230 MoV Molybdenum
680.000 C 274.9370 MoV Molybdenum
570.000 C 275.0750 MoV Molybdenum
220.000 E 275.2100 MoV Molybdenum
250.000 C 275.2800 MoV Molybdenum
0.700 E 275.3090 MoV Molybdenum
7.870  275.8470 MoVI Molybdenum
28.000 E 275.9300 MoV Molybdenum
30.000 E 276.1330 MoV Molybdenum
8.980  276.2080 MoVI Molybdenum
25.000 E 276.3890 MoV Molybdenum
60.000 E 276.4270 MoV Molybdenum
28.000 E 276.5130 MoV Molybdenum
3.800 E 276.5320 MoV Molybdenum
240.000 D 276.5320 MoV Molybdenum
1.400 E 277.0950 MoV Molybdenum
140.000 E 277.7710 MoV Molybdenum
300.000 E 277.8410 MoV Molybdenum
3.700 E 278.1630 MoV Molybdenum
90.000 E 278.3380 MoV Molybdenum
29.000 E 279.0930 MoV Molybdenum
24.000 E 279.8550 MoV Molybdenum
7.000 E 280.7840 MoV Molybdenum
300.000 C 280.8250 MoV Molybdenum
28.000 E 281.1280 MoV Molybdenum
4.980  281.3400 MoVI Molybdenum
16.000 E 281.7330 MoV Molybdenum
3.500 E 282.0330 MoV Molybdenum
8.000 E 282.7470 MoV Molybdenum
2.600 E 282.9800 MoV Molybdenum
26.000 E 283.0120 MoV Molybdenum
3.700 E 283.2810 MoV Molybdenum
19.000 E 283.2810 MoV Molybdenum
2.820  283.4000 MoVI Molybdenum
14.000 E 283.5510 MoV Molybdenum
20.000 E 283.6130 MoV Molybdenum
8.000 E 283.9800 MoV Molybdenum
10.000 E 284.0140 MoV Molybdenum
9.000 E 284.4120 MoV Molybdenum
20.000 E 284.6290 MoV Molybdenum
10.000 E 284.7510 MoV Molybdenum
10.000 E 284.9900 MoV Molybdenum
6.000 E 285.0550 MoV Molybdenum
100.000 D 285.2760 MoV Molybdenum
21.000 E 285.3350 MoV Molybdenum
19.000 E 285.9520 MoV Molybdenum
11.500  286.2990 MoVI Molybdenum
33.000 E 287.0870 MoV Molybdenum
8.000 E 287.2490 MoV Molybdenum
0.800 E 287.2820 MoV Molybdenum
2.000 E 287.9290 MoV Molybdenum
0.988  288.2780 MoVI Molybdenum
5.000 E 288.5630 MoV Molybdenum
160.000 C 288.8880 MoV Molybdenum
32.100  288.9200 MoVI Molybdenum
11.000 E 288.9360 MoV Molybdenum
140.000 D 289.0780 MoV Molybdenum
170.000 D 289.5700 MoV Molybdenum
5.000 E 290.3680 MoV Molybdenum
12.200  290.4390 MoVI Molybdenum
13.000 E 290.7190 MoV Molybdenum
14.000 E 291.1420 MoV Molybdenum
50.000 E 291.3000 MoV Molybdenum
19.000 E 291.4260 MoV Molybdenum
2.880  291.4460 MoVI Molybdenum
0.060 E 291.4800 MoV Molybdenum
8.000 E 291.7350 MoV Molybdenum
