(34709779.92) AA 288.103238000 ArXVIII Argon
(34273609.1) AA 1338.35471000 ArXVIII Argon
(33474750.71) AA 1489.90323000 ArXVIII Argon
(33474759.34) AA 1490.18435000 ArXVIII Argon
(33470066.1) AA 1490.94385000 ArXVIII Argon
(33469904.5) AA 1491.26322000 ArXVIII Argon
(33476357.26) AA 1498.21513000 ArXVIII Argon
(33474750.71) AA 1498.57583000 ArXVIII Argon
(33470066.1) AA 1499.62861000 ArXVIII Argon
6276440  1593.26000 ArXVI Argon
6274820  1593.67000 ArXVI Argon
(31253060)  1608.64000 ArXVII Argon
(31237960)  1612.56000 ArXVII Argon
(31253060)  1652.32000 ArXVII Argon
(31237960)  1656.45000 ArXVII Argon
6282200  1659.70000 ArXVI Argon
6259530  1665.97000 ArXVI Argon
6282630  1666.66000 ArXVI Argon
6282200  1666.78000 ArXVI Argon
6259530  1673.10000 ArXVI Argon
5637900  1773.7000 ArXVI Argon
5634800  1774.7000 ArXVI Argon
5648940  1854.63000 ArXVI Argon
5649610  1863.2000 ArXVI Argon
5648940  1863.47000 ArXVI Argon
5605700  1869.6000 ArXVI Argon
5605700  1878.6000 ArXVI Argon
(31743717.91) AA 2007.70456000 ArXVIII Argon
(31743738.1) AA 2008.2104000 ArXVIII Argon
(31732607.4) AA 2012.1931000 ArXVIII Argon
(31732225.8) AA 2012.8640000 ArXVIII Argon
(31747524.68) AA 2021.92728000 ArXVIII Argon
(31743717.91) AA 2023.48476000 ArXVIII Argon
(31732607.4) AA 2028.0442000 ArXVIII Argon
5353420  2040.3000 ArXV Argon
4724300  2116.7000 ArXIV Argon
4722050  2127.9000 ArXIV Argon
(29712236)  2138.768000 ArXVII Argon
(29676590)  2155.199000 ArXVII Argon
(29712236)  2216.668000 ArXVII Argon
(29676590)  2234.323000 ArXVII Argon
4358440  2299.6000 ArXIII Argon
4254180  2350.6000 ArXVI Argon
4246950  2354.6000 ArXVI Argon
4042040  2474.0000 ArXV Argon
4281030  2485.09000 ArXVI Argon
4283560  2499.4000 ArXVI Argon
4281030  2500.98000 ArXVI Argon
3993450  2504.1000 ArXII Argon
4176030  2551.7000 ArXVI Argon
4722050  2556.5000 ArXIV Argon
4722050  2558.1000 ArXIV Argon
4176030  2568.4000 ArXVI Argon
