(1720186.68841) AA 5813.322512000 BeIV Beryllium
(1720184.50175) AA 5813.329901000 BeIV Beryllium
(1707247.04668) AA 5857.383101000 BeIV Beryllium
(1707243.57429) AA 5857.395014000 BeIV Beryllium
(1685787.023070) AA 5931.947431000 BeIV Beryllium
(1685781.02269) AA 5931.968545000 BeIV Beryllium
(1646280.88582) AA 6074.297580000 BeIV Beryllium
(1646269.16610) AA 6074.340822000 BeIV Beryllium
(1560928.30867) AA 6406.444130000 BeIV Beryllium
(1560900.52810) AA 6406.558150000 BeIV Beryllium
(1317073.002568) AA 7592.593562000 BeIV Beryllium
(1316979.24398) AA 7593.134095000 BeIV Beryllium
(1685789.01240) AA 27121.14401000 BeIV Beryllium
(1685787.01290) AA 27121.29108000 BeIV Beryllium
(1685781.41051) AA 27121.70318000 BeIV Beryllium
(1646280.86620) AA 30367.29650000 BeIV Beryllium
(1646280.88582) AA 30367.84768000 BeIV Beryllium
(1646269.92250) AA 30368.30573000 BeIV Beryllium
(1646269.16610) AA 30368.92852000 BeIV Beryllium
(1646284.77140) AA 30375.58480000 BeIV Beryllium
(1646280.86620) AA 30375.94512000 BeIV Beryllium
(1646269.92250) AA 30376.95493000 BeIV Beryllium
1201060. AAA 40890.000 BeIII Beryllium
1201060. AAA 40890.000 BeIII Beryllium
1201060. AAA 40890.000 BeIII Beryllium
(1560928.262702) AA 40992.17145000 BeIV Beryllium
(1560928.30867) AA 40993.17138000 BeIV Beryllium
(1560902.3163) AA 40996.53184000 BeIV Beryllium
(1560900.52810) AA 40997.84027000 BeIV Beryllium
(1560937.519341) AA 41006.37572000 BeIV Beryllium
(1560928.262702) AA 41007.93231000 BeIV Beryllium
(1560902.3163) AA 41012.29605000 BeIV Beryllium
1221135. AAA 41674.000 BeIII Beryllium
1213931. AAA 42964.000 BeIII Beryllium
1178174. AAA 45112.000 BeIII Beryllium
1178174. AAA 45112.000 BeIII Beryllium
1178174. AAA 45112.000 BeIII Beryllium
1201894. AAA 45307.000 BeIII Beryllium
1201702. AAA 45799.000 BeIII Beryllium
1201702. AAA 45799.000 BeIII Beryllium
1201702. AAA 45801.000 BeIII Beryllium
1201702. AAA 45802.000 BeIII Beryllium
1201702. AAA 45802.000 BeIII Beryllium
1201702. AAA 45802.000 BeIII Beryllium
1199650. AAA 46233.000 BeIII Beryllium
1199650. AAA 46236.000 BeIII Beryllium
1199650. AAA 46236.000 BeIII Beryllium
1201800. AAA 48937.000 BeIII Beryllium
1179830. AAA 50339.000 BeIII Beryllium
1179451. AAA 50995.000 BeIII Beryllium
1179451. AAA 50995.000 BeIII Beryllium
1179451. AAA 50998.000 BeIII Beryllium
1179451. AAA 50999.000 BeIII Beryllium
1179451. AAA 50999.000 BeIII Beryllium
1179451. AAA 50999.000 BeIII Beryllium
1175295. AAA 52100.000 BeIII Beryllium
1175295. AAA 52103.000 BeIII Beryllium
1175295. AAA 52104.000 BeIII Beryllium
1179495. AAA 54933.000 BeIII Beryllium
1178005. AAA 55386.000 BeIII Beryllium
1128300. AAA 58208.000 BeIII Beryllium
1128300. AAA 58208.000 BeIII Beryllium
1128300. AAA 58208.000 BeIII Beryllium
1124040  60140.00 BeII Beryllium
1124040  60140.00 BeII Beryllium
1124040  60140.00 BeII Beryllium
1124040  60140.00 BeII Beryllium
1100118+x  60414.000 BeII Beryllium
1100118+x  60414.000 BeII Beryllium
1100118+x  60414.000 BeII Beryllium
1100118+x  60414.000 BeII Beryllium
1100118+x  60414.000 BeII Beryllium
1100118+x  60414.000 BeII Beryllium
1100118+x  60414.000 BeII Beryllium
1099980+x  60464.000 BeII Beryllium
1099980+x  60464.000 BeII Beryllium
1099980+x  60464.000 BeII Beryllium
1098622+x  60965.000 BeII Beryllium
1098622+x  60965.000 BeII Beryllium
1098622+x  60965.000 BeII Beryllium
1098622+x  60965.000 BeII Beryllium
1098622+x  60965.000 BeII Beryllium
1098622+x  60965.000 BeII Beryllium
1098622+x  60965.000 BeII Beryllium
1098622+x  60965.000 BeII Beryllium
161680a  61850.00 BeI Beryllium
161260a  62010.00 BeI Beryllium
160620a  62260.00 BeI Beryllium
159670a  62630.00 BeI Beryllium
151910a  65830.00 BeI Beryllium
1132390. AAA 66132.000 BeIII Beryllium
1085071+x  66455.000 BeII Beryllium
1085071+x  66455.000 BeII Beryllium
1085071+x  66455.000 BeII Beryllium
1085071+x  66455.000 BeII Beryllium
1085071+x  66455.000 BeII Beryllium
1085071+x  66455.000 BeII Beryllium
1085071+x  66455.000 BeII Beryllium
1085071+x  66455.000 BeII Beryllium
1131462. AAA 67519.000 BeIII Beryllium
1131462. AAA 67526.000 BeIII Beryllium
1131383. AAA 67555.000 BeIII Beryllium
1131383. AAA 67555.000 BeIII Beryllium
1131383. AAA 67560.000 BeIII Beryllium
1131383. AAA 67562.000 BeIII Beryllium
1131383. AAA 67562.000 BeIII Beryllium
1131383. AAA 67562.000 BeIII Beryllium
(1707247.04076) AA 68330.97570000 BeIV Beryllium
(1707247.04668) AA 68331.80788000 BeIV Beryllium
(1707243.79888) AA 68332.48940000 BeIV Beryllium
(1707243.57429) AA 68333.42926000 BeIV Beryllium
(1707248.19575) AA 68343.388298000 BeIV Beryllium
(1707248.19786) AA 68343.40878000 BeIV Beryllium
(1707247.04668) AA 68343.925012000 BeIV Beryllium
(1707247.04076) AA 68343.94925000 BeIV Beryllium
(1707243.79888) AA 68345.46353000 BeIV Beryllium
(1707243.57429) AA 68345.546966000 BeIV Beryllium
(1707248.77425) AA 68347.441940000 BeIV Beryllium
(1707248.19575) AA 68347.712180000 BeIV Beryllium
(1707247.04668) AA 68348.248961000 BeIV Beryllium
142630a  70110.00 BeI Beryllium
141403.31 A 70719.70000 BeII Beryllium
141403.24 A 70719.74000 BeII Beryllium
1117612.6+x  71421.000 BeII Beryllium
1074607.6+x  71421.000 BeII Beryllium
1074607.6+x  71421.000 BeII Beryllium
1117612.6+x  71421.000 BeII Beryllium
1117612.6+x  71421.000 BeII Beryllium
1074607.6+x  71421.000 BeII Beryllium
1074607.6+x  71421.000 BeII Beryllium
1074607.6+x  71421.000 BeII Beryllium
1117612.6+x  71421.000 BeII Beryllium
1117612.6+x  71421.000 BeII Beryllium
1117612.6+x  71421.000 BeII Beryllium
1074607.6+x  71421.000 BeII Beryllium
1074607.6+x  71421.000 BeII Beryllium
1117612.6+x  71421.000 BeII Beryllium
1117612.6+x  71421.000 BeII Beryllium
139938.18 A 71460.00 BeII Beryllium
139938.08 A 71460.00 BeII Beryllium
1074522+x  71465.000 BeII Beryllium
1074522+x  71465.000 BeII Beryllium
1074522+x  71465.000 BeII Beryllium
